generation,rank_1,rank_2,swapAccepted
1000,2,3,1
2000,1,3,1
3000,1,4,1
4000,1,3,1
5000,1,3,1
6000,1,4,1
7000,1,4,1
8000,1,3,1
9000,3,4,1
10000,1,4,1
11000,3,4,1
12000,1,4,1
13000,2,4,0
14000,1,2,1
15000,2,3,1
16000,1,4,1
17000,1,3,0
18000,1,2,1
19000,2,4,1
20000,2,3,1
21000,3,4,1
22000,2,4,1
23000,2,4,1
24000,3,4,0
25000,2,3,1
26000,1,4,1
27000,1,3,1
28000,1,3,1
29000,1,2,1
30000,1,3,0
31000,2,4,1
32000,1,4,0
33000,3,4,1
34000,1,4,1
35000,1,3,1
36000,2,4,1
37000,1,3,1
38000,1,2,1
39000,1,2,1
40000,1,2,1
41000,2,3,1
42000,2,3,1
43000,1,3,1
44000,1,4,1
45000,2,3,1
46000,2,4,1
47000,1,3,1
48000,2,3,1
49000,3,4,1
50000,1,2,1
51000,1,4,1
52000,1,3,1
53000,2,3,1
54000,2,3,1
55000,1,2,1
56000,2,4,1
57000,2,4,1
58000,1,3,1
59000,1,2,1
60000,3,4,1
61000,1,4,0
62000,1,4,1
63000,1,4,1
64000,1,3,1
65000,1,3,0
66000,1,3,1
67000,2,4,1
68000,1,2,1
69000,1,2,1
70000,1,3,1
71000,2,3,1
72000,2,3,1
73000,1,4,1
74000,2,3,1
75000,2,4,1
76000,3,4,1
77000,1,3,1
78000,2,3,1
79000,2,4,1
80000,1,2,1
81000,2,4,1
82000,1,4,1
83000,1,2,1
84000,1,3,1
85000,2,4,1
86000,2,3,1
87000,1,4,1
88000,2,3,1
89000,3,4,1
90000,2,4,1
91000,3,4,1
92000,1,2,1
93000,2,3,1
94000,2,3,1
95000,1,4,1
96000,2,4,1
97000,1,3,1
98000,1,2,1
99000,2,4,1
100000,1,4,1
101000,1,3,1
102000,1,2,1
103000,2,3,1
104000,3,4,1
105000,2,3,1
106000,1,2,1
107000,1,2,1
108000,2,4,1
109000,1,4,1
110000,2,4,1
111000,2,4,1
112000,2,3,1
113000,1,4,1
114000,3,4,1
115000,2,3,1
116000,3,4,1
117000,1,2,1
118000,1,2,1
119000,1,4,1
120000,3,4,1
121000,2,3,1
122000,2,3,1
123000,2,3,1
124000,1,3,1
125000,2,3,1
126000,1,3,1
127000,1,4,1
128000,1,2,1
129000,1,2,1
130000,1,2,1
131000,1,2,1
132000,3,4,1
133000,1,3,1
134000,1,3,1
135000,1,2,1
136000,1,3,1
137000,2,3,1
138000,1,3,1
139000,3,4,1
140000,1,4,1
141000,1,3,1
142000,1,2,1
143000,1,2,1
144000,2,3,1
145000,2,4,1
146000,2,4,1
147000,2,3,1
148000,3,4,1
149000,2,3,1
150000,3,4,1
151000,1,3,1
152000,2,4,1
153000,2,3,1
154000,2,3,1
155000,1,2,1
156000,2,3,1
157000,3,4,1
158000,2,3,1
159000,3,4,1
160000,3,4,1
161000,2,4,0
162000,2,3,1
163000,1,3,1
164000,1,3,1
165000,2,4,0
166000,1,2,1
167000,1,4,0
168000,3,4,1
169000,1,3,1
170000,1,2,1
171000,2,3,1
172000,2,4,1
173000,3,4,1
174000,1,4,1
175000,3,4,1
176000,3,4,1
177000,1,3,1
178000,2,4,1
179000,1,2,1
180000,1,3,1
181000,2,4,1
182000,2,4,1
183000,2,4,1
184000,2,3,1
185000,1,4,1
186000,3,4,1
187000,1,4,1
188000,1,2,1
189000,2,3,1
190000,1,4,1
191000,2,4,1
192000,2,4,1
193000,1,4,1
194000,2,4,1
195000,3,4,1
196000,3,4,1
197000,2,3,1
198000,3,4,1
199000,2,4,1
200000,2,3,1
201000,1,2,1
202000,2,4,1
203000,1,4,1
204000,1,3,1
205000,3,4,1
206000,1,4,0
207000,2,3,1
208000,2,3,1
209000,1,3,1
210000,1,4,1
211000,1,3,1
212000,2,4,1
213000,2,4,1
214000,1,4,1
215000,1,2,1
216000,1,4,1
217000,1,4,1
218000,2,3,1
219000,1,3,1
220000,2,3,1
221000,2,3,1
222000,1,2,1
223000,3,4,1
224000,2,3,1
225000,1,2,0
226000,2,4,1
227000,1,4,1
228000,2,3,1
229000,1,3,1
230000,3,4,0
231000,2,3,1
232000,2,3,1
233000,3,4,1
234000,1,4,0
235000,2,3,1
236000,2,4,1
237000,2,3,1
238000,3,4,1
239000,2,4,1
240000,1,4,1
241000,2,3,1
242000,3,4,1
243000,1,4,1
244000,2,4,1
245000,2,3,1
246000,3,4,1
247000,1,2,1
248000,2,4,1
249000,1,4,1
250000,3,4,1
251000,1,2,1
252000,1,4,1
253000,1,3,1
