generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
43000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.175504,0.0566844,0.186262,0
43000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,30.9768,0.925643,-0.00961162,0.408187,0
44000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.365586,-0.000111266,0.257752,0
44000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,32.8217,0.521843,0.0287371,0.0510126,0
45000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.42282,-0.00641957,0.209552,0
45000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,33.452,0.462451,0.0280738,0.0418685,0
46000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.513036,-0.00388506,0.328936,0
46000,Scleria_balansae_SC203,Scleria_oligantha_SC236,15.7281,0.258877,0.0471687,0.474425,0
46000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,34.784,0.654562,-0.0256358,0.0241629,0
47000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.276893,0.0158883,0.30837,0
47000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,33.7875,0.834901,-0.0367191,0.176103,0
48000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.201886,0.0456948,0.263655,0
48000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,33.816,0.923079,-0.0625361,0.165737,0
49000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.224637,0.0355332,0.24182,0
49000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,34.2746,0.63589,-0.050494,0.0834342,0
50000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.193879,0.0321556,0.216086,0
50000,Scleria_ankaratrensis_SC022,Scleria_castanea_SC046,26.8851,0.252339,0.121948,0.0447905,0
51000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.309683,0.00801664,0.285597,0
51000,Scleria_lithosperma_SC182,NA,34.6157,0.340189,0.0013135,0.673386,0
51000,Scleria_ankaratrensis_SC022,Scleria_lithosperma_SC182,21.5707,0.533302,0.0160477,0.391492,0
52000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.265325,0.0138,0.275806,0
52000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,34.2659,0.665272,-0.0381538,0.0788219,0
53000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.189702,0.0119312,0.128387,0
53000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,34.2562,0.913078,-0.0538534,0.0559379,0
54000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.232748,0.0143105,0.174912,0
54000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,33.4975,0.922908,-0.00525556,0.49783,0
55000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.278608,0.0203382,0.309492,0
56000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.280192,0.0458161,0.354515,0
57000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.25382,0.0224419,0.295529,0
58000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.259985,0.0275221,0.286395,0
59000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.193333,0.0476679,0.227524,0
59000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,33.928,0.514964,-0.00083701,0.070863,0
60000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.193327,0.0141602,0.185263,0
60000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,34.6287,0.626855,0.00413207,0.0391002,0
61000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.200816,0.0101095,0.0796607,0
61000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,33.2563,0.594606,-0.00470405,0.091125,0
62000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.244058,0.00968713,0.124579,0
63000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.181504,0.026907,0.185064,0
63000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,30.0205,0.691893,-0.00950386,0.122983,0
64000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.156142,0.0324264,0.121501,0
64000,Scleria_ankaratrensis_SC022,Scleria_bourgeaui_SC313,33.8156,0.44302,0.00796839,0.0345834,0
65000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.185656,0.051285,0.215918,0
65000,Scleria_ankaratrensis_SC022,Scleria_castanea_SC046,28.7804,0.581572,-0.00951288,0.149337,0
66000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.285159,0.0331121,0.351208,0
67000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.251454,0.0684118,0.319865,0
68000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.228709,0.0701841,0.312026,0
69000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.259505,0.0180248,0.223219,0
70000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.246486,0.0273138,0.270297,0
71000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.206476,0.0494442,0.191604,0
72000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.253418,0.0333966,0.33637,0
73000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.293463,0.0162478,0.252391,0
74000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.256594,0.0409659,0.26414,0
75000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.229186,0.089741,0.305626,0
76000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.223675,0.0398073,0.233994,0
77000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.300709,0.0120989,0.2312,0
78000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.275266,0.0338174,0.32747,0
79000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.322966,0.0178386,0.349457,0
80000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.291448,0.0320267,0.358608,0
81000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.280954,0.0411898,0.388586,0
82000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.255887,0.0351978,0.27903,0
83000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.327664,0.157677,0.568769,0
84000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.262279,0.0296781,0.287661,0
85000,Scleria_abortiva_SC226,Scleria_brownii_SC059,0,0.261921,0.0475606,0.344368,0
